id;thinklab;date;country;city;region;likelyhood;text
1;Almaden;10/22/2018 04:04 pm;;;;10;Very interesting and insightful experience. Fantastic speakers and host. Very impressed with company achievements. Thanks a lot for offering this opportunity! :-)
2;Almaden;10/19/2018 08:53 pm;;;;10;The tour was absolutely fascinating, I think the products IBM is producing are very interesting. Specifically, the debater project was fascinating to me.
3;Almaden;10/19/2018 08:40 am;;;;8;It gives insights from a leading corporation's view.
4;Almaden;10/19/2018 10:59 am;;;;10;Lecturer is experienced. They shared a lot of interesting information about AI.
5;Almaden;05/06/20 12:58;;;;10;NIL
6;Almaden;10/21/2018 03:24 pm;;;;9;The model for innovation that IBM practices is impressive and I believe is the true method for results: work with the community, enable passionate scientists and engineers to create.
7;Almaden;10/20/2018 10:09 am;;;;10;"I really enjoyed my time there. The presentation was nice and the building interior is beautiful. Getting the opportunity to hear from IBM senior management and senior copyright counsel was itself worth the score marked.
The presenters were enthusiastic about their fields and more than willing to answer any questions we might have had in a very intelligent and thoughtful manner."
8;Almaden;10/22/2018 07:23 am;;;;8;Presentation gave me a good sense of the size and scale at which IBM is approaching these big problems.
9;Almaden;10/22/2018 10:29 am;;;;9;Very informative. Extremely knowledgeable and and interesting hosts/speakers.
10;Almaden;10/22/2018 10:39 am;;;;9;I enjoyed the policy discussions we had and that the speakers tailored the discussion to what was relevant to our audience. I wish the conversation had included more of an immersive experience, maybe more about the technology of IBM. However, I do understand that most of this information is likely limited by confidentiality. Overall, great experience.
11;Almaden;10/22/2018 10:09 am;;;;7;Impressive past and current accomplishments, but the lack of diversity was disappointing.
12;Almaden;10/21/2018 01:42 am;;;;8;"very interesting insights into different areas; talks with various people working at IBM. Nevertheless, I would have loved to get a short tour of the buildings."
13;Almaden;10/21/2018 11:38 pm;;;;7;I wasn't not present for a fair majority of THINKLab to give a full assessment, but the speaker touched on some interesting points about IBM's history and business approach, such as, why IBM is no longer in the business of making computers.
14;Almaden;10/21/2018 10:30 pm;;;;7;Its the birthplace of some of the coolest tech in the world. Plus its an opportunity to meet some of the best minds in tech and learn from them
15;Almaden;10/19/2018 12:13 pm;;;;10;IBM is at the forefront of the latest technology. You get a glimpse of the latest technology when visiting the Lab. If you want to know what's new and hot, you should visit the Lab.
16;Almaden;10/19/2018 09:44 am;;;;10;Diversity of available resources
17;Almaden;10/22/2018 07:17 am;;;;10;The IBM personnel were fantastic in their presentations about IBM’s presence in the AI market and how they aim to help the world using AI.
18;Almaden;10/21/2018 06:13 pm;;;;0;I am a law student interested in criminal law so I am unlikely to have a colleague or business partner that the ThinkLab would be relevant to.
19;Almaden;05/23/2019 07:47 am;;;;9;"Very interesting introduction to Quantum computing and to the IBM offering
Very friendly staff.
We appreciated that senior IBM people took time to explain us what could be the/a future of computing"
20;Almaden;10/22/2018 11:00 am;;;;7;On reconsideration, I will likely recommend IBM research tools to colleagues. In criminal law, there is so many appeals and habeas corpus motions on so many issues, so a way to more intelligently go through the case law would be exceptionally helpful. If there is a version of the debate robot that works under the structure of a trial, having an AI to do mock trials with rather than pulling a colleague off their work to help with mock trials.
21;Almaden;10/21/2018 06:58 pm;;;;8;Lovely location, wonderful people
22;Bangalore;08/20/2018 11:17 am;;;;8;Core research on AI and blockchain
23;Bangalore;07/27/2018 11:03 am;;;;10;Excellent team
24;Bangalore;06/20/2018 02:27 pm;;;;8;Interesting to work with R&D people on new technologies
25;Bangalore;08/07/18 16:07;;;;10;Pretty interactive engagement
26;Bangalore;06/19/2018 02:32 pm;;;;10;Great collaboration
27;Bangalore;08/20/2018 11:17 am;;;;8;Core research on AI and blockchain
28;Bangalore;08/02/18 13:37;;;;10;It’s an experience on what the future can be
29;Bangalore;08/20/2018 11:17 am;;;;8;Core research on AI and blockchain
30;Bangalore;12/18/2017 02:04 am;India;Bangalore;19;8;Interesting applications to improve the predictability of success in an unstructured environment.
31;Bangalore;01/11/18 03:00;India;Bangalore;19;9;Relevant solutions to our vision and future growth
